run,epoch,n_boxes,n_scenes_with_boxes,n_scenes_total,scene_coverage_pct,mean_score,median_score,std_score,frac_score_lt_0p3,pt_median,pt_frac_le5_pct,pt_frac_le10_pct,precision_0.25,precision_0.50,recall_0.25,recall_0.50,f1_0.25,f1_0.50
w/o_ROS,0,10981,3583,3712,96.5248,0.6421,0.7063,0.1938,0.1065,116.0000,0.0000,1.2840,0.7605,0.7476,0.5817,0.5718,0.6592,0.6480
w/o_ROS,2,11472,3586,3712,96.6056,0.6234,0.6853,0.1888,0.1048,115.0000,0.0000,1.4121,0.7514,0.7391,0.6004,0.5906,0.6675,0.6565
w/o_ROS,4,9326,3474,3712,93.5884,0.5973,0.6391,0.1606,0.0908,140.0000,0.0000,1.2331,0.8238,0.8148,0.5351,0.5293,0.6488,0.6417
w/o_ROS,6,7994,3366,3712,90.6789,0.5722,0.6016,0.1460,0.0721,153.0000,0.0000,0.8006,0.8615,0.8521,0.4797,0.4745,0.6163,0.6095
with_ROS,0,11309,3463,3712,93.2920,0.6380,0.6816,0.1666,0.0534,110.0000,0.0000,1.4060,0.7669,0.7555,0.6041,0.5951,0.6758,0.6658
with_ROS,2,13370,3518,3712,94.7737,0.5879,0.6290,0.1667,0.0819,93.0000,0.0000,1.6305,0.7168,0.7020,0.6675,0.6538,0.6913,0.6770
with_ROS,4,11861,3452,3712,92.9957,0.5305,0.5564,0.1374,0.0820,101.0000,0.0000,1.3237,0.7614,0.7464,0.6290,0.6166,0.6889,0.6753
with_ROS,6,9245,3347,3712,90.1670,0.4338,0.4375,0.1050,0.1247,102.0000,0.0000,1.0492,0.8049,0.7786,0.5183,0.5014,0.6305,0.6099
